lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,price
5850,3,1,2,yes,no,yes,no,no,1,no,161700
4000,2,1,1,yes,no,no,no,no,0,no,148225
3060,3,1,1,yes,no,no,no,no,0,no,190575
6650,3,1,2,yes,yes,no,no,no,0,no,232925
6360,2,1,1,yes,no,no,no,no,0,no,234850
4160,3,1,1,yes,yes,yes,no,yes,0,no,254100
3880,3,2,2,yes,no,yes,no,no,2,no,254100
4160,3,1,3,yes,no,no,no,no,0,no,265650
4800,3,1,1,yes,yes,yes,no,no,0,no,322630
5500,3,2,4,yes,yes,no,no,yes,1,no,340725
7200,3,2,1,yes,no,yes,no,yes,3,no,346500
3000,2,1,1,no,no,no,no,no,0,no,117425
1700,3,1,2,yes,no,no,no,no,0,no,103950
2880,3,1,1,no,no,no,no,no,0,no,138600
3600,2,1,1,yes,no,no,no,no,0,no,142450
3185,2,1,1,yes,no,no,no,yes,0,no,145915
3300,3,1,2,no,no,no,no,no,1,no,155925
5200,4,1,3,yes,no,no,no,no,0,no,156887.5
3450,1,1,1,yes,no,no,no,no,0,no,173250
3986,2,2,1,no,yes,yes,no,no,1,no,173250
4785,3,1,2,yes,yes,yes,no,yes,1,no,186725
4510,4,2,2,yes,no,yes,no,no,0,no,253715
4000,3,1,2,yes,no,no,no,yes,0,no,145915
3934,2,1,1,yes,no,no,no,no,0,no,146300
4960,2,1,1,yes,no,no,no,no,0,no,161700
3000,2,1,2,yes,no,no,no,no,0,no,162855
3800,2,1,1,yes,no,no,no,no,0,no,167475
4960,2,1,1,yes,no,yes,no,yes,0,no,169400
3000,3,1,1,no,no,no,no,yes,0,no,171325
4500,3,1,2,yes,no,no,no,yes,0,no,172865
3500,2,1,1,no,no,yes,no,no,0,no,173250
3500,4,1,2,yes,no,no,no,yes,2,no,184800
4000,2,1,1,yes,no,no,no,no,0,no,188650
4500,2,1,1,yes,no,no,no,no,0,no,198275
6360,2,1,2,yes,no,no,no,no,0,no,234850
4500,2,1,1,yes,no,no,no,yes,2,no,234850
4032,2,1,1,yes,no,yes,no,no,0,no,237545
5170,3,1,4,yes,no,no,no,yes,0,no,257950
5400,4,2,2,yes,no,no,no,yes,2,no,315700
3150,2,2,1,no,no,yes,no,no,0,no,209825
3745,3,1,2,yes,no,yes,no,no,0,no,256025
4520,3,1,2,yes,no,yes,no,yes,0,no,269500
4640,4,1,2,yes,no,no,no,no,1,no,315700
8580,5,3,2,yes,no,no,no,no,2,no,354200
2000,2,1,2,yes,no,no,no,no,0,no,146300
2160,3,1,2,no,no,yes,no,no,0,no,169400
3040,2,1,1,no,no,no,no,no,0,no,157850
3090,3,1,2,no,no,no,no,no,0,no,165550
4960,4,1,3,no,no,no,no,no,0,no,184800
3350,3,1,2,yes,no,no,no,no,0,no,210980
5300,5,2,2,yes,no,no,no,no,0,no,211750
4100,4,1,1,no,no,yes,no,no,0,no,219450
9166,2,1,1,yes,no,yes,no,yes,2,no,261800
4040,3,1,2,yes,no,yes,yes,no,1,no,365750
3630,3,3,2,no,yes,no,no,no,0,no,146300
3620,2,1,1,yes,no,no,no,no,0,no,96250
2400,3,1,1,no,no,no,no,no,0,no,97193.25
7260,3,2,1,yes,yes,yes,no,no,3,no,215600
4400,3,1,2,yes,no,no,no,no,0,no,136675
2400,3,1,2,yes,no,no,no,no,0,no,115500
4120,2,1,2,yes,no,no,no,no,0,no,184800
4750,2,1,1,yes,no,no,no,no,0,no,184800
4280,2,1,1,yes,no,no,no,yes,2,no,200200
4820,3,1,2,yes,no,no,no,no,0,no,207900
5500,4,1,2,yes,yes,yes,no,no,0,no,215600
5500,3,1,2,yes,no,no,no,yes,0,no,231000
5040,3,1,2,yes,no,yes,no,yes,0,no,231000
6000,2,1,1,yes,no,yes,no,yes,1,no,257950
2500,2,1,1,no,no,no,no,yes,0,no,180950
4095,3,1,2,no,yes,yes,no,yes,0,no,269500
4095,2,1,1,yes,no,no,no,no,2,no,173250
3150,3,1,2,yes,no,yes,no,no,0,no,196350
1836,2,1,1,no,no,yes,no,no,0,no,125125
2475,3,1,2,yes,no,no,no,no,0,no,130900
3210,3,1,2,yes,no,yes,no,no,0,no,134750
3180,3,1,1,no,no,no,no,no,0,no,138600
1650,3,1,2,no,no,yes,no,no,0,no,173250
3180,4,1,2,yes,no,yes,no,yes,0,no,180950
3180,2,2,1,yes,no,yes,no,no,2,no,211750
6360,2,1,1,yes,no,yes,no,yes,1,no,246015
4240,3,1,2,yes,no,no,no,yes,0,no,192500
3240,2,1,1,no,yes,no,no,no,1,no,134750
3650,3,1,2,yes,no,no,no,no,0,no,192500
3240,3,1,2,yes,no,no,no,no,2,no,165550
3780,2,1,2,yes,yes,yes,no,no,0,no,213675
6480,3,1,2,no,no,no,no,yes,1,no,219450
5850,2,1,1,yes,yes,yes,no,no,2,no,231000
3150,3,2,1,yes,yes,yes,no,yes,0,no,300300
3000,2,1,1,yes,no,no,no,no,1,no,134750
3090,2,1,1,yes,yes,yes,no,no,0,no,169400
6060,3,1,1,yes,yes,yes,no,no,0,no,180950
5900,4,2,2,no,no,yes,no,no,1,no,223300
7420,4,1,2,yes,yes,yes,no,yes,2,no,627550
8500,3,2,4,yes,no,no,no,yes,2,no,492800
